@relation voices
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute voice {bass, baritone, tenor, alto, soprano}



@data

8.9395,6.5763507,10.773811,8.532711,1.0780395,13.946566,14.720161,18.967678,7.500795,6.6487246,10.189834,10.634287,5.364483,8.895267,19.064259,5.123682,5.1514564,23.117636,8.9395,8.9395,8.9395,8.9395,4.992676,5.4376454,10.948171,8.147051,8.750598,23.778105,14.0359335,2.5200906,16.820341,19.5843,6.8067946,5.765076,9.618152,20.467484,102.82276,21.750034,1.3208,11.966869,6.1998196,6.8500156,45.212135,15.233256,15.812099,20.510242,5.638509,6.0231543,14.655612,3.849827,2.154861,9.180406,17.271963,8.796919,10.67124,9.412724,7.6364636,18.469637,8.7367735,6.559305,11.191653,7.9426656,6.7062097,26.718674,soprano
7.9871883,4.6423073,11.40253,3.2585876,14.598759,13.603283,4.1525397,6.8539495,18.360275,12.6425295,7.314299,5.982531,8.384393,9.41852,6.4185348,4.1734924,9.789583,15.432261,7.9871883,7.9871883,7.9871883,7.9871883,17.431358,10.100367,8.012843,12.503402,3.4662554,5.9368525,6.7251415,2.6156654,1.3545519,0.52684534,10.953691,7.446295,21.524319,26.279198,49.25707,4.39383,8.834116,2.0695083,13.385173,17.581732,2.3605504,6.997345,4.687,17.107641,6.3023653,14.065762,10.801207,12.808096,19.306509,8.834189,16.319828,7.756458,12.254196,9.293552,18.182123,6.398935,10.865966,3.6482837,5.8331094,5.7009735,14.163853,2.5073197,soprano
2.45715,15.501346,7.0766587,6.368665,8.34385,13.585938,9.791818,13.889821,3.6102624,4.833071,9.579374,17.5133,8.915253,28.083961,6.793173,8.392889,15.202093,4.7251916,2.45715,2.45715,2.45715,2.45715,21.535776,14.472453,21.196918,21.361069,23.707619,9.664695,13.680608,6.110757,10.663341,3.2658994,12.651039,6.317605,24.370382,41.87319,221.16222,17.959322,6.2103176,8.61305,5.299104,168.62831,57.591347,7.435695,10.283749,6.7700186,10.416406,2.12571,8.683603,10.755404,18.190216,6.767697,8.505436,21.012966,4.7656317,10.630119,8.40363,8.998065,11.145307,7.762112,7.519902,16.796513,18.685379,21.054352,soprano
10.166766,8.049931,14.58367,18.351128,20.482702,7.9496922,30.50106,14.3478565,1.8442222,4.572179,11.748057,11.385192,3.5987306,6.2975087,23.883574,6.7546434,26.585659,5.424522,10.166766,10.166766,10.166766,10.166766,6.477118,13.694297,15.169101,13.628653,18.817019,21.123266,8.101837,3.7461329,9.050225,15.998579,17.386164,5.0208287,15.315315,83.00985,218.51143,13.956182,9.206955,4.482716,8.515934,30.968979,70.84241,11.5722685,13.00788,15.8847275,9.630034,9.614355,28.132975,13.8599205,3.6257713,14.910897,6.0470843,12.149156,5.2017503,14.922047,11.053858,12.535043,5.6484714,6.0454974,7.245482,9.406055,9.21955,9.458842,soprano
7.377832,27.635548,17.003393,4.9145565,14.357896,18.548262,16.369326,21.262508,6.6513276,5.8660035,10.37484,3.5764103,11.173592,14.017224,13.253826,28.07668,15.941097,16.18868,7.377832,7.377832,7.377832,7.377832,22.660542,19.18121,14.333234,5.5660477,10.140302,10.729598,14.356549,9.017654,11.647543,7.028215,12.475274,7.056919,35.582184,42.4389,86.94753,23.19808,17.957312,3.243992,8.683831,68.76339,8.915651,28.389725,10.585606,16.862558,20.451109,1.3996708,16.04362,4.106387,5.9568686,13.152283,14.641611,6.0671887,16.474775,14.22201,4.7389483,10.493788,11.6377325,15.529885,7.1574254,9.570897,3.714459,9.422608,soprano
15.754826,37.631573,25.8817,19.841778,28.014002,23.69259,20.725937,17.689116,11.195886,3.160963,14.876182,14.058119,12.096064,11.297337,15.047264,14.605671,15.501955,18.904215,15.754826,15.754826,15.754826,15.754826,23.593578,15.271043,20.324657,19.300817,14.901736,15.57079,12.2548,4.1208806,11.118151,5.3170347,2.7421315,6.6928744,19.491446,21.349958,15.470372,12.607699,17.423082,15.338265,15.118631,78.85404,12.131586,9.906698,1.5557188,5.1599464,11.154794,5.7226048,14.779888,8.328118,12.000268,20.310724,3.9754014,8.236507,1.0695945,12.998562,7.573683,2.3281238,8.567443,16.015446,7.674841,3.9239547,7.0891433,10.688795,soprano
19.625751,5.352562,16.762674,10.126623,11.979151,18.370619,9.959869,12.256773,18.556036,16.176403,9.587229,6.9334507,12.289224,12.659086,18.626537,10.086346,13.84899,9.699134,19.625751,19.625751,19.625751,19.625751,8.617421,12.784459,7.562722,8.657167,11.809683,16.058092,3.888693,4.409766,2.0807636,14.665083,1.9286066,2.975449,6.824636,8.527421,7.374489,10.504728,2.8565552,5.014072,13.220768,8.880015,0.89700615,12.672564,6.724027,15.156612,12.50799,10.931443,0.97295904,10.497365,6.760296,9.885208,6.6946964,8.028565,4.405011,11.996615,15.521875,1.9155238,5.971569,13.723452,10.675119,3.2690406,12.740182,12.0421715,soprano
5.70986,14.970553,7.9206614,20.12176,20.039364,18.022821,14.751313,14.937365,15.761003,18.0929,15.099677,3.6437612,14.078623,9.593259,9.566067,8.599737,13.831089,22.307869,5.70986,5.70986,5.70986,5.70986,15.194462,5.2194333,4.674791,19.685465,6.0017247,13.269635,8.60518,6.6201344,4.7685223,12.8241625,7.737673,14.347877,9.045375,16.695456,75.21706,15.613384,23.17789,12.408714,3.9479227,17.400795,55.502064,10.063346,14.345965,22.324896,2.7647963,15.832623,8.882493,11.238402,11.496437,21.913914,14.056204,16.681648,4.789518,14.408574,11.152359,12.179329,12.609419,8.149464,4.332261,4.870506,19.869804,7.203933,soprano
18.4036,5.7614923,8.782487,8.44808,7.798276,24.06361,21.050726,19.30758,7.767166,7.6400437,15.4201145,3.4938765,17.890759,7.7460523,12.999811,11.933208,6.849044,15.42755,18.4036,18.4036,18.4036,18.4036,7.9833922,9.907176,13.740138,18.307938,4.0170145,7.884142,1.0550683,9.313248,11.2857,11.335702,8.177284,11.209016,21.680319,9.534959,210.21306,40.495525,9.247246,7.7619634,4.575527,7.055111,87.808266,11.055972,9.616264,10.164778,7.7495456,13.546042,7.822195,7.583185,12.843699,14.131949,2.8832884,15.574448,9.2069235,7.2448015,10.278407,5.0056276,9.161087,15.487653,7.946724,13.807938,3.837273,1.0149001,soprano
