@relation voices
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute voice {bass, baritone, tenor, alto, soprano}



@data

4.6457114,2.5274084,4.070944,2.4244258,7.8803153,9.08849,3.4021409,39.83418,9.615745,9.266147,6.0893745,6.0945487,1.738189,10.488688,3.111264,8.318784,6.414747,6.6130185,4.6457114,4.6457114,4.6457114,4.6457114,17.336037,3.4154792,6.4950333,15.616481,3.2343829,5.3194666,2.5373428,0.57790744,1.2180915,4.716716,6.398291,0.7907691,3.9581926,0.62436736,5.4282894,0.9467866,0.49440283,0.5334505,1.1786901,2.9516788,1.8886372,1.1869469,2.013003,1.4807314,0.80742437,3.050437,2.291415,0.91236943,0.8907442,2.6549747,2.9293394,2.0823352,2.0823286,0.6458203,0.41429767,1.7480825,0.41511512,3.513324,1.588017,2.4977338,2.2110777,3.0435379,bass
2.1863325,1.6985422,1.9550582,2.663378,3.305219,5.9934254,2.7118337,22.869438,12.45682,3.2815902,2.8020682,4.0597486,0.5193407,16.011778,4.0640836,2.6036444,0.81077194,1.7447108,2.1863325,2.1863325,2.1863325,2.1863325,2.587923,1.879699,3.4558656,6.178141,1.5338572,1.9350573,3.2713537,0.5589418,3.5004334,1.5824682,2.9641526,1.9823812,2.4501514,1.5596222,3.859885,1.9163008,2.5550668,2.6299229,4.3864007,2.0611675,2.4328187,1.7200055,1.8100737,1.0248462,0.9089502,1.417818,0.85860854,1.8402103,0.99224216,0.47257477,1.3636935,2.121154,0.333982,2.3651242,1.9757823,1.107851,2.1269975,3.266459,1.9560446,1.2367247,1.1358423,1.8431175,bass
3.2682767,3.5249074,2.3051136,4.146359,4.1192904,4.9963655,8.033963,25.595486,10.92191,2.0861921,9.190534,1.8445123,1.2897247,20.982029,4.6051455,10.110777,11.958965,1.4219258,3.2682767,3.2682767,3.2682767,3.2682767,6.2196307,1.0337391,3.0903378,4.512845,7.9496083,2.473735,2.1658213,3.3655858,1.697126,1.1739899,1.1193501,1.7060918,1.9959121,0.9851875,0.80886894,1.3502976,2.0102189,1.2988375,1.1333538,1.5049868,1.1113911,1.3341672,0.7360452,0.6553689,0.6482449,2.3099656,0.9030316,2.406752,1.1305766,0.7434911,0.5327931,0.8941059,1.9670514,1.4353403,2.0261366,0.35613745,1.8315833,1.0093207,2.6692336,0.73695123,1.0424712,0.82173944,bass
3.4967573,3.936182,2.8496554,1.6253673,5.025613,7.9272184,2.645301,31.713413,18.113543,17.731903,5.8498964,2.6207397,6.2558665,22.680565,2.2418997,11.304484,10.981219,8.841659,3.4967573,3.4967573,3.4967573,3.4967573,42.4342,2.6067097,7.308615,6.894451,8.836144,4.120295,6.315947,2.9814875,2.4316037,2.9660468,3.6591916,2.032741,3.1634429,3.7334344,2.29553,2.338592,3.9250448,2.8479571,2.7666535,0.7963423,2.0523322,2.5996084,4.0070605,2.165803,2.2679048,1.5379612,2.3619726,0.81223047,1.6705953,0.98716885,2.142602,0.48234242,2.0373266,1.859968,1.822889,0.9829842,0.9561889,2.4912536,2.3198485,2.0887513,2.8483982,3.0009987,bass
4.3501644,3.2692244,3.3240383,1.3519232,8.639154,2.782758,14.5767765,19.296541,12.455617,13.986413,3.2081914,3.0276067,9.973891,11.45486,1.607151,9.1519575,9.243233,8.925138,4.3501644,4.3501644,4.3501644,4.3501644,61.02153,4.0007834,2.353335,17.455454,9.609172,5.4667497,2.7169702,2.942064,5.720461,5.6083045,7.419078,2.5482726,0.5524329,1.8497713,4.717467,5.8999653,0.73757476,2.6615624,2.1622334,3.623599,2.9678855,3.105703,2.1073363,1.9556398,0.77220285,1.6396271,1.6164305,2.4242346,1.6948677,0.8817604,1.9999307,1.9769003,3.6035185,2.3689842,1.6660987,2.951087,1.2004565,2.1965952,3.6383448,2.3198125,3.3577847,1.5692273,bass
5.6325345,1.6586988,3.4527884,3.6608772,5.77662,5.314607,7.435872,28.730158,8.678143,17.014433,4.3942604,4.268255,2.7234747,5.4395432,4.9062347,9.889309,22.435328,8.789396,5.6325345,5.6325345,5.6325345,5.6325345,32.915833,3.708137,5.5930815,5.796724,5.669941,6.127393,4.3166084,4.0881333,5.5399647,6.686086,3.6488001,5.603236,3.8538,2.7923195,1.2598021,0.7348424,0.89547116,1.7952652,6.3037863,2.3632934,2.3820975,4.7467375,3.5578208,2.7019534,0.9802167,5.093476,3.7377114,2.8030288,0.81915516,2.8520453,3.438267,1.221498,0.5551499,1.2042962,4.5192857,1.4948846,3.3402393,5.9734535,3.3138688,1.5538119,3.738915,2.240156,bass
2.1301594,0.5870405,1.4594694,0.81198454,4.116328,2.1216397,4.433032,35.84613,2.1648574,14.711124,5.6319475,3.4243844,6.2923746,19.024637,12.716146,6.509031,6.784284,3.9979854,2.1301594,2.1301594,2.1301594,2.1301594,15.238889,2.1017992,3.7934148,5.3989673,5.037306,1.6419559,3.9227223,2.0677907,2.8308682,2.01218,2.0290985,0.7155566,1.5685548,4.222334,2.6164565,3.8665988,0.9380077,1.2286812,7.3930902,1.3757114,1.8583466,3.311728,1.6164525,0.59277344,2.2051523,0.8363002,3.4377842,0.5841068,0.80822676,3.1010258,1.0987909,0.05773011,1.3020232,1.148814,1.3490819,1.6787344,2.3424299,1.6590486,0.32220015,0.9783852,3.038221,2.9668803,bass
0.6157604,0.88289934,2.688015,2.8628228,3.8504586,10.128092,15.816134,35.648174,11.353736,15.072305,0.7769505,12.395669,4.519457,3.5421152,11.174242,9.395396,2.9404786,2.0933278,0.6157604,0.6157604,0.6157604,0.6157604,20.800491,4.85237,6.377248,26.080492,4.3370624,4.6375074,3.9877727,3.6774862,5.9438095,0.31429982,2.529139,4.0623674,3.3222446,2.8730173,0.9299721,1.8183212,1.13031,1.4817232,2.8643706,3.6354775,4.607044,4.897883,3.0468311,0.44217262,2.898004,1.3811405,1.0774635,4.4030566,0.62674314,0.66047853,2.3609903,2.1112437,2.0611944,1.1620735,1.2356055,5.0309763,0.9140682,1.0450048,1.1064343,0.45559064,3.0184011,1.4109459,bass
3.9928548,4.546052,1.48835,2.8654795,6.62075,13.902758,8.510353,19.357656,17.256289,26.07577,5.1965485,3.8243594,4.6732655,4.517932,9.656431,8.37006,8.961776,2.9963872,3.9928548,3.9928548,3.9928548,3.9928548,21.499212,2.5317402,1.0048063,11.971456,5.4896326,1.3652982,5.013562,3.9110537,3.2090511,2.0200489,2.690071,3.1599567,4.002751,4.7898583,1.7892221,2.0915492,2.6562288,1.3645079,1.889001,1.2029628,3.94696,2.6995099,1.1894894,4.0088553,1.6399649,3.1567793,1.5774816,3.1968274,2.7168643,1.8709943,0.81798446,3.2289093,2.582442,4.2581973,2.0886292,1.5128802,1.1523414,2.076566,1.5123075,3.8539085,3.8847203,1.7825359,bass
